num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2026S007401;17/01/2026;12:57:00;CALL. JORGE MANRIQUE, 11;11;5;CHAMARTÍN;Atropello a persona;Nublado;Bicicleta EPAC (pedaleo asistido);Peatón;Más de 74 años;Hombre;2;Ingreso inferior o igual a 24 horas;441509;4477220;N;
2026S007477;17/01/2026;22:15:00;CALL. BOYER, 32;32;19;VICÁLVARO;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 20 años;Mujer;;;450295;4472939;N;
2026S007479;17/01/2026;6:40:00;AVDA. ALBUFERA / CLLON. ALGUACIL;69;13;PUENTE DE VALLECAS;Colisión fronto-lateral;LLuvia intensa;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443691;4471848;N;
2026S007723;18/01/2026;12:00:00;IDB. PARQUE LINEAL DEL MANZANARES / P.K 7,65;0;13;PUENTE DE VALLECAS;Atropello a persona;Despejado;Bicicleta;Conductor;De 60 a 64 años;Hombre;14;Sin asistencia sanitaria;441221;4470547;N;
2026S007723;18/01/2026;12:00:00;IDB. PARQUE LINEAL DEL MANZANARES / P.K 7,65;0;13;PUENTE DE VALLECAS;Atropello a persona;Despejado;Bicicleta;Peatón;De 60 a 64 años;Hombre;;;441221;4470547;N;
2026S008057;19/01/2026;13:20:00;CTRA. CIUDAD UNIVERSITARIA, 0;0;9;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;435238;4477303;N;
2026S008058;19/01/2026;14:24:00;AVDA. ALBUFERA / CALL. BUSTOS;25;13;PUENTE DE VALLECAS;Colisión lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;443406;4472049;N;
2026S008175;19/01/2026;19:33:00;CALL. GUADALAJARA / CALL. EDUARDO MAZON;7;16;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;1;Atención en urgencias sin posterior ingreso;447842;4478126;N;
2026S008780;20/01/2026;21:55:00;CALL. CARLOS MARTIN ALVAREZ / CALL. SIERRA DE ALQUIFE;1;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;443570;4471007;N;
2026S008978;21/01/2026;7:50:00;CALL. BRAVO MURILLO, 190;190;6;TETUÁN;Caída;Lluvia débil;Bicicleta;Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440416;4478456;S;
2026S009306;21/01/2026;19:45:00;PASEO. JUAN XXIII, 22;22;9;MONCLOA-ARAVACA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439177;4477695;N;
2026S009490;22/01/2026;10:25:00;AVDA. POBLADOS / CALL. CARABANCHEL BAJO;80;11;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 20 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;436608;4469633;N;
2026S009595;22/01/2026;13:30:00;CALL. ORENSE / CALL. RAIMUNDO FERNANDEZ VILLAVERDE;2;6;TETUÁN;Alcance;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;441031;4477554;N;
2026S009752;21/01/2026;21:55:00;CALL. COMERCIO, 14;14;2;ARGANZUELA;Colisión fronto-lateral;LLuvia intensa;Bicicleta;Conductor;De 15 a 17 años;Hombre;14;Sin asistencia sanitaria;441910;4472394;N;
2026S009834;22/01/2026;21:00:00;AVDA. MARQUES DE CORBERA, 63;63;15;CIUDAD LINEAL;Colisión lateral;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;444850;4475370;N;
2026S009836;22/01/2026;21:15:00;CALL. VILLAAMIL / CALL. ISLA DE GOMERA;76;6;TETUÁN;Colisión fronto-lateral;LLuvia intensa;Bicicleta;Conductor;De 30 a 34 años;Hombre;;;439950;4479235;N;
2026S009875;22/01/2026;21:20:00;CALL. MAUREGATO / CALL. RAMIRO MOLINA;11;10;LATINA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;437569;4473397;N;
2026S010595;24/01/2026;20:00:00;AVDA. MENENDEZ PELAYO, 75;75;3;RETIRO;Alcance;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;1;Atención en urgencias sin posterior ingreso;442575;4473543;N;
2026S010918;25/01/2026;15:05:00;AVDA. MIGUEL HERNANDEZ / AVDA. BUENOS AIRES;120;13;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;;;444607;4469876;N;
2026S011246;26/01/2026;17:20:00;AVDA. BURGOS, 4;4;5;CHAMARTÍN;Colisión lateral;Lluvia débil;Bicicleta;Conductor;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442677;4480122;N;
2026S011247;26/01/2026;17:45:00;CALL. LINO / CALL. INFANTA MERCEDES;17;6;TETUÁN;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440925;4479015;N;
2026S011455;26/01/2026;22:00:00;CALL. ATOCHA, 107;107;1;CENTRO;Alcance;Lluvia débil;Bicicleta;Conductor;De 35 a 39 años;Hombre;2;Ingreso inferior o igual a 24 horas;441009;4473551;N;
2026S011703;27/01/2026;19:50:00;CALL. FEDERICO GRASES / CALL. ALBA DE TORMES;44;11;CARABANCHEL;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;De 50 a 54 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;436753;4469787;N;
2026S011715;27/01/2026;19:25:00;CALL. ALFONSO XII / CALL. DOCTOR VELASCO;19;3;RETIRO;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;De 45 a 49 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;441559;4473461;N;
2026S011776;27/01/2026;20:00:00;CALL. SALLABERRY / CALL. MERCEDES ARTEAGA;4;11;CARABANCHEL;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;438841;4471802;N;
2026S012225;28/01/2026;12:35:00;CALL. DOLORES BARRANCO / CALL. NICOLAS USERA;25;12;USERA;Caída;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;De 40 a 44 años;Mujer;1;Atención en urgencias sin posterior ingreso;440134;4470542;N;
2026S012511;28/01/2026;22:15:00;CALL. BRAVO MURILLO, 292;292;6;TETUÁN;Alcance;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Hombre;;;440841;4479252;N;
2026S012863;29/01/2026;17:15:00;AVDA. ALBUFERA, 139;139;13;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;444134;4471540;N;
2026S013137;30/01/2026;1:10:00;PASEO. FLORIDA, 2;2;9;MONCLOA-ARAVACA;Choque contra obstáculo fijo;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 20 años;Hombre;;;438858;4474734;S;
2026S013325;30/01/2026;11:57:00;CALL. JOSE ORTEGA Y GASSET, 82;82;4;SALAMANCA;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;442892;4475676;N;
2026S013357;30/01/2026;14:05:00;CALL. REINA MERCEDES / CALL. AVIADOR ZORITA;13;6;TETUÁN;Otro;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;440790;4478025;N;
